title,date,source,author,category,label
Industry maintain around visit.,2022-05-27,Global Times,Felicia Brown,Technology,real
Artist possible day that half.,2024-05-19,CNN,Jasmine Herrera,Science,real
Sometimes particular former sense guy.,2023-04-01,Daily News,Megan Crawford,Science,real
Soon fear statement seek oil eye.,2024-12-17,Fox News,Brett Hanna,Entertainment,fake
Bed go toward training.,2022-08-04,BBC,Anna Morris,Science,real
Leader recently on tend food measure choose.,2022-10-05,Daily News,Lisa Wells,Entertainment,fake
Fact board back know.,2023-04-09,Fox News,Anthony Brennan,Science,fake
Kind fast structure with.,2023-09-13,CNN,Megan Lloyd,Entertainment,fake
Establish center miss energy land grow goal.,2022-05-02,BBC,Madeline Guerrero,Politics,fake
Wear national yourself indicate.,2022-06-07,BBC,Christopher Hernandez,Sports,fake
Those dark middle check.,2023-10-24,,Rebecca Watkins,Technology,real
Factor world economy economy society indeed.,2024-08-13,Fox News,Tina Bell,Entertainment,real
Reason police anything.,2023-04-20,NY Times,Ryan Cox,Sports,real
Economic while say think often opportunity.,2022-11-11,CNN,,Business,fake
Week build entire themselves care police.,2024-10-23,The Guardian,Elizabeth Calhoun,Politics,real
Sort until article leave late outside hope.,2025-01-14,BBC,Brandi Parker,Health,fake
Music away matter glass thousand save pull.,2023-02-15,Global Times,William Jones,Entertainment,real
Recognize section receive key family prove prepare create.,2024-03-02,NY Times,Joshua Figueroa,Technology,fake
Former night once loss shoulder out.,2023-01-07,CNN,Mr. Anthony Mckenzie Jr.,Technology,fake
Beautiful send gas garden west mission every.,2023-03-04,CNN,Michael Wilson,Science,fake
But national girl several.,2022-09-07,Daily News,Jeffrey Walker,Entertainment,real
Minute stock peace room.,2022-06-04,Daily News,William Walter,Entertainment,real
Plant threat sort cold prevent task thank.,2023-08-11,BBC,Dustin Hudson,Politics,fake
Site tend culture.,2024-06-30,CNN,Lydia Berry,Health,fake
Far hospital top argue nation.,2022-10-03,Reuters,Robert Johnson,Entertainment,real
Rule way prepare.,2024-08-24,BBC,Eric Garza,Health,fake
Say final who reason.,2022-07-11,BBC,John Henderson,Business,real
Free show face power no.,2025-01-30,Global Times,Janet Henry,Politics,real
Four recent up her.,2023-09-22,Fox News,Mr. Shawn Little,Sports,real
System possible quickly town live.,2023-06-15,Global Times,Billy Dalton,Science,fake
More challenge group break PM.,2022-12-14,BBC,Whitney Arnold,Business,fake
Draw human suddenly visit among career.,2023-10-25,Fox News,Brittany Meyer,Health,fake
Join success middle prevent response director.,2022-12-20,NY Times,Robert Wright,Technology,fake
Magazine trade alone relationship.,2024-05-17,CNN,Shannon Jones,Health,fake
Special industry close rise.,2024-05-12,Fox News,Claire Robinson,Health,fake
Hospital east network organization each west various.,2024-01-26,BBC,Alexis Chen,Technology,real
World wind could step.,2023-11-06,NY Times,Sarah Ward,Entertainment,real
Eat particular measure brother read despite operation perform.,2022-06-09,Fox News,Lauren Roberts,Politics,fake
Discover floor TV which director east memory.,2023-06-05,Global Times,Ashley Miller,Politics,real
Fast nearly church true.,2022-12-14,Reuters,Christina Gaines,Politics,real
Land bad skill music.,2022-09-10,Fox News,Madison Villa,Health,real
Within when official include push.,2025-03-05,Reuters,Joshua Cook,Science,fake
Arm science organization enjoy half cut.,2024-11-02,Fox News,Jason Miller,Business,fake
Force method free all writer them Republican.,2023-07-18,The Guardian,Margaret Sosa,Science,real
Surface week break onto.,2024-03-28,CNN,Aaron Cooper,Health,real
Sound cover western option week.,2023-12-13,NY Times,Amanda Jackson,Health,fake
Fall spend some bag these center chance role.,2025-01-25,,Yvonne Castillo,Science,real
Tend chair teach claim case read office make.,2023-10-07,The Guardian,Sheena Cardenas DDS,Science,fake
Land attack everybody.,2024-12-17,Global Times,Jose Pugh Jr.,Politics,fake
Admit condition we later away beat ok.,2023-07-19,Reuters,James Jackson,Science,fake
Though project place firm.,2023-11-06,NY Times,Taylor Fletcher,Health,fake
Foot education increase myself she material.,2024-10-18,Daily News,Jacob Frank,Entertainment,real
Account still light bar she when party.,2023-04-21,The Guardian,,Health,real
Step population manager visit level late.,2023-02-20,Fox News,Adam Burton,Politics,fake
Begin behind many myself attack.,2022-11-25,Fox News,Taylor Whitney,Technology,fake
Possible keep culture sea beyond.,2022-07-23,The Guardian,Eddie Sullivan,Business,real
You century late source name billion bank.,2024-04-24,Fox News,Joseph Mann,Politics,real
Center treat stay page since.,2025-01-30,,Sherry Lucas,Health,fake
Next development break coach could strategy stop.,2024-02-23,CNN,Beth Wise,Technology,fake
Building trial everything middle family out short.,2023-04-21,Reuters,Richard Martinez,Entertainment,fake
Term understand probably area security we add.,2025-01-28,Fox News,Lawrence Bennett,Technology,fake
Those center political brother throw less Democrat.,2024-11-15,NY Times,Donald Pace,Business,real
Something avoid allow to position its then.,2023-03-02,Fox News,Nicholas Hernandez,Sports,real
Usually local product through cold.,2023-08-27,BBC,Billy Huff,Sports,real
Allow seven sure seek his could.,2023-12-20,Global Times,Travis Hoover,Business,fake
Brother we all imagine ever mission.,2023-11-26,Global Times,,Entertainment,real
Significant yard thing summer green.,2024-09-20,Reuters,Alexander Malone,Entertainment,real
Student show official cause.,2023-08-29,Daily News,Mary Vasquez,Technology,fake
Ground pressure gun change behind.,2025-03-05,BBC,Katelyn Johnson,Technology,real
Month television picture visit.,2022-11-12,BBC,Heather Thompson,Science,fake
Wall fish use occur.,2022-08-14,CNN,Denise Walker,Entertainment,real
Long year yes risk create.,2023-06-15,Global Times,Sarah Hodges,Science,fake
Investment officer participant development poor.,2022-05-18,The Guardian,Deanna Young,Business,fake
Walk kid near stay wall town.,2024-05-12,CNN,Travis Lopez,Technology,fake
Actually cold interview begin would home.,2022-06-23,Global Times,Robert Jensen,Politics,real
Half tonight deep detail.,2024-11-08,CNN,Jessica Alexander,Business,real
Local sing lead glass page.,2022-06-20,BBC,Cheryl Wilson,Business,fake
Million region do mention effect line.,2024-06-04,NY Times,James Johnson,Entertainment,fake
Difficult effort pressure industry.,2022-09-14,BBC,Daniel Briggs,Business,fake
Man several pull every last they understand.,2023-10-25,Fox News,Teresa Frazier,Entertainment,fake
Result deal cell significant how large.,2023-03-11,The Guardian,Debra Kemp,Sports,fake
Buy certain subject source far.,2025-02-25,The Guardian,Danielle Thomas,Entertainment,fake
Manager their hold end resource no test.,2023-10-06,NY Times,Vickie Rivas,Entertainment,real
Possible woman billion space simply customer.,2023-11-21,The Guardian,Jessica West,Sports,fake
Actually why order view.,2024-03-29,Daily News,Daniel Taylor III,Politics,real
Federal which perhaps bad gas someone.,2023-09-22,NY Times,John Davis,Sports,real
Including send answer suggest particularly none claim.,2022-11-30,Reuters,Timothy Bishop,Politics,real
Painting behind television here Republican cultural mean.,2023-08-21,,,Technology,real
Follow card into away.,2024-06-28,Reuters,Manuel Harris DVM,Sports,real
Tree country perhaps gas too television.,2022-06-13,Daily News,Daniel Mack,Business,real
Investment figure through they statement minute which.,2024-11-19,,Tina Davis,Science,real
Us cut good performance itself particular visit road.,2024-07-18,Daily News,Scott Williams,Science,real
Budget none exist behavior short clearly society age.,2022-05-06,Daily News,Sarah Lane,Health,real
Hundred key rock sister.,2024-07-13,BBC,Jeanette Gomez,Science,fake
Knowledge sort term audience.,2022-11-23,Daily News,Ethan Humphrey,Sports,real
Where shake leg left.,2025-03-15,BBC,Kenneth Clark,Entertainment,real
Perform step newspaper alone.,2023-08-26,Global Times,Jessica Austin,Sports,real
Voice theory paper make image week.,2023-05-20,Global Times,Jason Anderson,Business,real
Have plan during newspaper.,2023-08-31,Reuters,Raymond Lawson,Politics,real
Enter among ball current director apply.,2023-01-26,Fox News,Benjamin Scott,Science,fake
Ground guess clear expert exist half certain.,2024-09-01,BBC,Michael Roberts,Entertainment,fake
Financial discuss best support perhaps financial issue.,2023-05-06,,Amber Griffin,Politics,fake
Kitchen some sound accept large.,2024-01-11,Fox News,Rachel Boyd,Politics,fake
Ask in too on begin difficult.,2022-11-25,The Guardian,Jesse Bean,Entertainment,real
Property something impact others husband fight.,2022-10-28,CNN,Nancy Molina,Science,fake
Great who win between road particular within.,2025-01-02,CNN,Elizabeth Bell,Business,fake
Sure cost per party talk whatever.,2023-07-08,CNN,Natalie Williams,Entertainment,real
Road include size no.,2023-07-04,NY Times,Matthew Yang,Entertainment,real
Discussion enter resource player position figure your.,2022-11-13,NY Times,Jerry Harvey,Science,fake
Bed house red.,2023-11-22,Daily News,Melanie Hughes,Sports,real
A both early stay.,2022-09-22,Global Times,,Science,fake
Dark drive debate machine special future five head.,2023-10-18,CNN,Joseph Fischer,Science,real
Culture glass have interview step.,2025-04-21,,Deborah Higgins,Science,real
Despite example music help nothing own.,2023-02-09,The Guardian,,Technology,fake
Fear type benefit opportunity fish baby.,2024-10-02,Reuters,Peter Rogers,Health,real
Drug study source fine myself near very how.,2023-05-05,BBC,Melissa Guzman,Business,fake
Choice color forward speech could.,2024-09-25,Fox News,Todd Park,Technology,fake
Look few space small whom.,2024-06-05,Fox News,Matthew Williams,Politics,real
Claim property this claim officer situation control source.,2023-02-23,CNN,Sarah Lopez,Technology,real
Draw buy arrive agreement travel plan.,2023-08-10,Fox News,Michael Bridges,Health,fake
Minute my magazine learn data.,2025-03-26,Global Times,Wayne Sutton,Entertainment,fake
Grow rise international.,2024-01-12,BBC,Matthew Cortez II,Entertainment,fake
Star senior per behind others.,2023-09-04,Daily News,Monica Bell,Entertainment,real
Table report beautiful final claim.,2022-07-28,CNN,Stephanie Richardson,Politics,fake
Check score analysis meet wife ground him.,2022-06-19,BBC,David Mccann,Sports,real
Maintain ten owner traditional community win your.,2024-03-24,BBC,Amy Gutierrez,Health,fake
Expert style lot young action.,2023-01-24,Reuters,Kristen Thomas,Sports,real
Difference hospital worker church last.,2023-12-28,Global Times,Rebecca Wright,Entertainment,real
Situation direction place design determine rock.,2024-03-07,Reuters,John Griffin,Politics,real
Writer opportunity can watch bill.,2022-11-21,BBC,Brittany Allen,Health,real
Cell him true service big now tree.,2022-09-29,BBC,Kelly Mcknight,Politics,real
Country chair voice president real.,2023-07-23,Reuters,Jessica Watson,Science,fake
Candidate question drug moment return.,2025-04-19,BBC,Christopher Trevino,Business,real
Crime provide more single.,2024-05-09,Reuters,Erica Taylor,Entertainment,fake
Gas protect particular.,2022-11-18,CNN,Leslie Gordon MD,Entertainment,fake
Especially go itself organization.,2024-07-22,NY Times,Courtney Hansen,Health,real
Cold then off key modern.,2023-07-28,The Guardian,Katherine Lopez,Politics,fake
Like power writer series.,2024-01-27,The Guardian,,Science,fake
Career ground speech way make.,2022-06-03,Global Times,Jennifer Wise,Technology,real
Community ahead himself audience whatever idea.,2025-01-26,NY Times,Brian Myers,Health,fake
Heavy already true.,2023-11-13,The Guardian,Rachel Ortiz,Science,real
Various main conference themselves turn fact face.,2023-07-16,Global Times,Kimberly Larson,Technology,real
Face more tax rich.,2024-05-18,BBC,Jeffrey Alexander,Science,real
Admit difference carry message feeling nature produce full.,2024-07-29,Daily News,Sharon Hess,Entertainment,real
Argue two stage stop natural technology.,2025-01-23,Daily News,Daniel Schneider,Entertainment,real
Protect save information somebody example decide hit expert.,2024-03-12,Fox News,Ashley Hoffman,Entertainment,real
Value certainly laugh down very we Republican.,2024-04-24,CNN,Nicholas Martinez,Sports,fake
Realize religious land south sign say.,2022-12-21,BBC,Jamie Clark,Health,real
Book director yard fast.,2024-08-19,Reuters,Alejandro Harrington,Politics,fake
Early against fund guess way husband state.,2022-06-27,Fox News,Gloria Winters,Politics,real
Training whether indicate take well agent.,2024-03-29,BBC,David Reyes,Sports,fake
Determine evening moment employee.,2023-12-02,NY Times,Jennifer Smith,Technology,real
City against political north.,2024-04-16,Daily News,Jeanette Smith,Health,fake
Approach world article.,2024-03-27,Global Times,Patricia Jacobs,Health,real
Quite financial bar Congress.,2022-09-29,Daily News,Robert Martin,Entertainment,fake
Score blue least we think decide wear notice.,2022-06-01,Fox News,Joshua Phelps,Politics,real
Mind heavy describe information soldier little.,2024-02-24,CNN,Heather Peterson,Technology,fake
Involve control later stuff.,2023-06-28,Fox News,Jodi Velasquez,Politics,fake
Fight throughout in author character night writer.,2024-03-10,BBC,Edward Wood,Sports,real
Everything rock ever late.,2024-03-12,BBC,Barbara Fox,Entertainment,real
Get establish argue prove dream.,2024-05-10,BBC,Stacey Adams,Politics,fake
Best available agency suffer money return outside.,2024-12-09,,Lori Allen,Sports,real
Begin space along majority their listen and speech.,2024-04-08,,Aaron Rodriguez,Business,real
Summer development lay other.,2022-09-13,The Guardian,,Business,real
Because individual business first million.,2024-11-25,Fox News,Scott Park,Technology,real
Material general medical authority some floor in.,2024-08-01,Reuters,James Mcneil,Health,fake
Charge life among do.,2024-09-14,The Guardian,Nathan Robinson,Entertainment,fake
Visit here half magazine decision build star increase.,2024-05-25,Fox News,Brian Stanley,Entertainment,real
Live official ok respond.,2022-12-17,The Guardian,Gregory Thompson,Technology,real
Most improve official.,2025-01-10,Daily News,Kyle Weber,Business,real
Dinner paper so forget middle.,2022-06-21,Reuters,Steven Hogan,Entertainment,real
Keep race contain guy citizen religious four data.,2023-02-15,NY Times,Joel Sanchez,Entertainment,fake
Sure vote seek note fear impact.,2023-05-08,CNN,Douglas Johnson,Sports,fake
Of radio political.,2023-12-13,Daily News,Jill Bass,Science,real
School power memory during kid and.,2023-06-03,CNN,,Business,fake
Structure president understand onto training fear.,2022-05-28,Fox News,Nicole Graham,Science,real
While fall gas quickly let sell group.,2023-12-12,BBC,Emily Rojas,Business,fake
Fact continue low mother few.,2024-12-01,NY Times,Joshua Pierce,Health,real
Since structure medical positive player.,2022-05-17,Global Times,David Tucker,Science,real
Understand defense accept establish since ask best.,2025-01-18,BBC,Tiffany Espinoza,Politics,real
Government say this strong party expect.,2023-03-27,Reuters,Jamie Randall,Health,fake
Agree author old force.,2022-07-29,Reuters,David Rowe,Technology,fake
Challenge father something key senior Congress chair.,2022-07-11,CNN,Miguel Ortiz,Technology,fake
Increase room everybody maybe while she.,2022-10-31,BBC,Frederick Alexander,Business,fake
Bag arrive nearly certain media political maintain.,2022-11-02,Reuters,Jessica Perry,Entertainment,real
All my however economic.,2024-02-02,BBC,Robert Allen,Politics,real
Truth still present probably.,2022-05-17,Reuters,Jacob Johnson,Science,fake
Over during argue performance there respond person.,2023-02-03,NY Times,,Sports,fake
Read our no.,2022-12-17,CNN,Ryan Rodriguez,Politics,real
Study usually speech beautiful its kid law figure.,2024-03-03,,Benjamin Thomas,Politics,fake
Success adult often person arm.,2024-05-26,NY Times,David Bowers,Entertainment,real
Window point possible produce matter reveal blue.,2023-05-30,Daily News,Christopher Park,Science,fake
Consumer interview morning consider.,2024-06-12,BBC,Courtney Pierce,Science,real
Woman four region himself age attention your.,2024-04-14,BBC,Kyle Warren,Politics,fake
Recent star friend thank rise candidate never.,2025-03-30,Reuters,Sheila Hansen,Sports,real
Term bag should ok.,2022-11-06,Fox News,Deborah Parker,Business,real
Blood not owner.,2025-03-27,The Guardian,,Sports,real
Serve perhaps music at investment ground scientist.,2024-03-24,Daily News,Mr. Wesley White,Sports,real
Better another data remain ahead blue.,2022-10-12,The Guardian,Michael Fitzgerald,Technology,real
Believe fast worker call Democrat.,2024-11-30,Reuters,Charles Rollins,Entertainment,real
Late help growth threat book song.,2024-11-03,Global Times,Taylor Ware,Health,real
Card pretty black information.,2024-12-21,NY Times,Robert Klein,Entertainment,fake
Us create well individual he nearly guess she.,2023-02-05,,Bryan Russell,Entertainment,real
Here remain rise four whole.,2024-08-06,The Guardian,,Health,real
Movie century director.,2023-11-27,Daily News,Laurie Hoffman,Entertainment,real
Impact nor difference animal price.,2024-04-18,CNN,Sabrina Anderson,Politics,fake
Almost ability suggest approach war.,2024-05-27,BBC,,Science,fake
Least list truth new.,2024-02-19,BBC,Chad Ford,Sports,real
Avoid risk I.,2022-08-03,Daily News,,Technology,fake
Because film chance tend back.,2023-12-10,The Guardian,Christopher Pittman,Politics,real
Ready as southern see particular project.,2025-02-27,Reuters,Lauren Cummings,Entertainment,fake
Meeting building herself power.,2022-10-31,CNN,Calvin Hamilton,Sports,real
Number bit write sign.,2025-04-20,Daily News,Nicholas Jackson,Sports,real
Easy church require project discuss.,2024-04-23,Global Times,Dustin Weber,Politics,fake
Understand during know receive material reveal leg.,2022-05-17,BBC,Allen Parker,Sports,real
Difference other together town ask find.,2024-04-16,CNN,Larry Harrison,Entertainment,fake
Rest memory power main feel fight.,2024-07-12,Reuters,Mackenzie Smith,Health,fake
Store certain fight same hard.,2024-06-24,Global Times,Jennifer English,Entertainment,fake
American decision peace race.,2023-06-02,BBC,Chelsea Paul,Business,real
Market yet act coach language future.,2023-03-03,Reuters,Shane Cannon,Business,fake
Article skill administration hand want.,2024-09-01,The Guardian,Keith Bright,Business,real
Material theory determine light measure show.,2023-01-06,The Guardian,Scott Frey,Business,fake
Occur item and price.,2025-01-13,Fox News,Melissa Larson,Sports,real
Fill production money wear interview amount memory.,2023-02-15,NY Times,Regina Collins,Health,fake
Suffer during party professor respond boy.,2023-03-22,CNN,Robert West,Health,fake
Card collection site.,2022-05-18,BBC,Alyssa Lee PhD,Entertainment,real
Himself effect family before.,2024-11-18,BBC,John Goodwin,Business,fake
Race consumer tend.,2022-11-23,The Guardian,Mary Owens,Sports,real
Evening their kind special serious start across around.,2025-01-01,Global Times,Patricia Wright,Politics,real
Dinner name relationship stuff market cut thing.,2024-05-16,Reuters,Monica Johnson,Sports,real
Stage vote wind.,2023-07-06,Reuters,Leslie Stewart,Health,fake
Source nearly group woman gun under if.,2023-01-27,BBC,,Health,fake
Understand item shoulder message direction require necessary.,2024-01-23,The Guardian,Kyle Davis,Sports,fake
Partner step art number which.,2024-02-26,CNN,Vincent Arias,Politics,fake
Tonight well catch career up power agent work.,2023-10-25,Fox News,Janice Thomas,Entertainment,fake
Radio see attorney whose recent represent.,2024-01-25,Global Times,William White,Entertainment,real
Mother the arrive hour minute.,2023-03-18,NY Times,Shannon Carney,Health,fake
Mrs scene hotel actually believe thank.,2022-06-10,The Guardian,Robert Long MD,Business,real
Least skill out thing.,2023-08-01,,Whitney Hopkins,Science,fake
Parent view trouble big this challenge.,2024-06-25,Daily News,Amanda Harris,Politics,fake
Stand majority sometimes.,2024-11-26,NY Times,John Carpenter MD,Entertainment,real
Woman watch manager without.,2022-10-22,Fox News,Tara Nelson,Politics,real
Couple glass report program try phone.,2023-03-16,Global Times,Desiree Page,Entertainment,fake
Same product marriage kitchen cost.,2024-09-22,Reuters,Stephanie Aguirre,Business,fake
Writer performance authority several situation actually.,2024-02-22,The Guardian,Jerry Kane II,Technology,fake
Occur event near spend score reduce.,2024-08-13,Fox News,Kevin Lloyd,Technology,fake
Finish he heavy behind likely party.,2023-07-23,Global Times,Mackenzie Evans,Health,real
Already produce thought stock cover somebody voice.,2022-06-22,NY Times,Mike Barrera,Politics,real
Discussion information may player attack us help.,2023-06-24,CNN,,Politics,fake
Relationship week life federal drop.,2023-03-23,Fox News,Dr. Daniel Pierce,Technology,fake
No charge suddenly during.,2023-10-29,Reuters,Clarence Hoffman,Technology,real
Month agree six many spend.,2022-07-11,,Barbara Martinez,Politics,fake
Lot growth nation there discuss.,2022-05-30,CNN,Caitlyn Farmer,Politics,real
Several final leg make old impact well practice.,2022-10-16,The Guardian,Bethany Jones,Sports,fake
Reflect population official kind.,2023-06-28,NY Times,Jason Santiago,Business,real
Travel cut accept meeting letter year energy.,2023-03-29,NY Times,George Lyons,Science,real
Picture treatment add audience a.,2024-05-21,The Guardian,David Gillespie,Politics,fake
Truth street act east total.,2025-02-28,Fox News,Cameron Crawford,Politics,real
Which officer subject I yet.,2023-07-06,Daily News,Kevin Lawson,Technology,fake
Drive street once hair.,2024-05-26,NY Times,Stephanie Edwards,Entertainment,real
Quickly agreement catch raise Democrat until.,2025-02-26,Daily News,Dean Miller,Health,fake
Size sell particularly section international.,2024-04-09,BBC,Jim Stevens,Business,fake
Single single turn difficult.,2023-01-15,The Guardian,Holly Lowe,Sports,fake
Far window true father decision usually.,2024-02-13,The Guardian,Tonya Cole,Health,fake
Place threat way right left with see.,2024-02-11,BBC,James Jones,Science,real
Much plant sport cut anyone left.,2024-07-04,Reuters,Tammy Bryant,Science,real
Trouble through civil hotel Congress.,2024-11-15,Reuters,,Technology,real
Kitchen price all mother traditional style bring.,2025-03-29,The Guardian,Sarah Thompson,Technology,real
Stay he top program official.,2023-01-31,BBC,Ms. Joy Jones,Entertainment,real
Yes couple government pay me man store.,2024-05-04,Global Times,Brandon Alvarado,Sports,fake
Beat likely wonder ahead.,2024-05-27,Global Times,Matthew Henson,Sports,real
Yeah ready trip participant any interest much.,2022-04-30,The Guardian,Mason Santos,Entertainment,real
Almost little make guy garden son.,2022-08-03,CNN,Whitney Martinez,Science,real
Born reach blue.,2024-09-07,NY Times,Timothy Jimenez,Sports,real
Project miss modern those determine benefit possible.,2022-09-18,Fox News,Eric Hart,Health,fake
Weight fast describe most national at.,2023-06-15,CNN,Megan Barnett,Sports,real
Agency form size stuff.,2023-11-09,Reuters,Larry Brown,Sports,fake
Their goal indeed inside close country throughout.,2023-07-20,Fox News,Wesley Allen,Technology,fake
Choose about hospital especially yet school mother.,2024-05-08,Reuters,Kirk Foster,Science,real
Which pass difficult.,2024-07-03,BBC,Timothy Foster,Health,fake
Star pick capital step discuss build course.,2023-03-25,Reuters,Alexis Rodriguez,Entertainment,real
Class happy impact buy.,2024-09-19,CNN,,Technology,real
Remain occur fire attorney school.,2022-11-21,Fox News,Traci Gonzales,Business,real
Include themselves suddenly born.,2023-03-29,NY Times,Monica Nelson,Business,fake
Instead campaign heart yourself then.,2022-05-24,NY Times,Vicki Elliott,Science,real
Event evening accept entire ever goal.,2025-02-22,CNN,Thomas Fry,Science,fake
Word firm rich point child owner.,2022-05-19,BBC,Theresa Downs,Technology,fake
Thing best suggest positive even who subject.,2022-09-09,,Sarah Garcia,Health,fake
Force wall represent whom.,2023-06-07,Global Times,Michael Camacho,Politics,real
Teach house law truth system talk system method.,2022-10-18,Global Times,Amy Sims,Health,fake
Dog hope these computer else almost which author.,2024-02-10,CNN,Jacob Franco,Politics,real
Our item computer garden.,2023-07-20,Daily News,Jamie Mccullough,Business,real
Themselves I already yard.,2023-03-09,Fox News,Sarah Buchanan,Business,fake
Front hope lawyer tough measure could.,2024-09-03,Daily News,John Bridges,Business,real
Why assume really sure.,2022-08-20,CNN,Christopher Rivera,Sports,real
Adult stuff tough lead particularly big street.,2025-03-14,Fox News,Sarah Reese,Health,fake
Similar political drop sell detail.,2024-11-22,Fox News,Janet Harris,Entertainment,real
Trial possible interesting including window.,2024-05-16,CNN,,Science,real
Subject everything shoulder born population everything guess.,2023-09-12,BBC,Jane Munoz,Entertainment,real
Image then hit air since stay.,2022-12-20,The Guardian,Joyce Bradley,Technology,real
Get space they Mr.,2023-01-12,BBC,Bradley Wagner,Business,real
Coach apply person try or.,2022-09-13,Reuters,Sharon Daniels,Entertainment,real
Focus born might.,2024-10-29,CNN,Brendan Rogers,Sports,fake
Look after sell book computer.,2022-07-12,Daily News,Shannon Craig,Technology,fake
He including care area morning identify opportunity.,2025-03-19,Fox News,Robert Page,Sports,fake
Analysis street off debate.,2023-03-28,,Sandra Taylor,Science,real
Hair probably mind.,2024-11-25,Global Times,Kevin Ryan,Technology,real
Gun reason democratic whether free production.,2022-12-18,Reuters,Lisa Deleon,Politics,real
Admit put maintain later almost house generation.,2024-02-27,NY Times,Austin Gross,Entertainment,fake
Amount hour or.,2023-12-28,Fox News,Angelica Rios,Sports,fake
Go training north argue better major great statement.,2023-05-12,CNN,Meagan Gutierrez,Business,fake
Group standard degree ability.,2025-01-30,BBC,Nicole Norton,Entertainment,fake
Later recently scene become institution himself.,2023-06-11,CNN,Jeffrey Cabrera,Entertainment,real
How glass thing place performance.,2025-01-23,Global Times,Danielle Gregory,Science,fake
Many event difference course specific budget.,2023-10-31,Global Times,Tracy Johnson,Technology,fake
Must fire space.,2025-02-15,Fox News,Mark Lewis,Science,fake
Clearly up traditional nice soon black.,2024-04-02,NY Times,Tamara Thornton,Sports,fake
Issue I theory guess.,2025-04-05,Reuters,Paula Lopez,Science,real
Mother area fact avoid pay away name.,2024-12-16,Global Times,Brian Montgomery,Sports,fake
Never road risk rate they.,2024-10-27,Daily News,Brian Evans,Politics,fake
Remember plan indicate.,2023-07-30,Global Times,Brian Sutton,Business,fake
Road toward simply thing cover discussion.,2023-03-20,Global Times,Richard Long,Sports,fake
Eat true visit beautiful.,2023-04-11,Daily News,Lawrence Clark,Politics,real
Radio nature strategy room beautiful material only.,2023-11-07,The Guardian,Mason Matthews,Health,fake
Raise company page style operation want.,2024-08-23,Global Times,Brent Sims,Science,real
Rise land once answer official between.,2024-05-05,CNN,Kristy Lopez,Entertainment,real
Current choose condition focus live will.,2023-02-11,Fox News,Nicole Nelson,Science,real
Value chance spend available Republican.,2023-07-26,NY Times,Rebecca Kelly,Politics,fake
Resource outside lead hard.,2024-10-05,Fox News,Matthew Good,Sports,real
Blue clearly notice really.,2024-03-04,NY Times,Joseph Harris,Technology,fake
Win movement yeah economy return growth wear when.,2023-02-26,Fox News,Kelli Bowen,Health,real
Physical weight stock.,2023-01-25,,Phyllis Johnson,Science,real
Respond one for phone and.,2024-01-03,Daily News,Ryan Fields,Science,real
Evening statement two article.,2023-04-19,NY Times,Daniel Giles,Entertainment,real
Example lawyer sense dark miss peace soon mouth.,2023-10-25,Fox News,Todd Smith,Politics,real
Quality huge official who.,2023-06-01,The Guardian,Eric Porter,Health,real
Real feeling produce especially.,2023-09-01,Fox News,Linda Russell,Health,real
General north budget country build writer mission.,2023-07-23,Fox News,Stacey Thomas,Technology,fake
Top loss method experience carry.,2022-10-07,Fox News,David Adams,Business,real
Take trip book cup reduce cost.,2024-07-21,CNN,Jason Chung,Health,real
Church event guess central radio suggest fight.,2023-04-26,The Guardian,Betty Smith MD,Health,fake
Glass present page include gun.,2025-01-29,CNN,Mrs. Sharon Thomas,Science,real
Door young example finish top sure subject.,2022-04-26,Global Times,Ryan Smith,Politics,real
I deal they inside project management them.,2023-12-07,Fox News,Kevin Shelton,Technology,fake
Energy person life.,2023-10-01,Global Times,Eric Holmes,Science,fake
Clearly report the.,2023-11-04,BBC,Cheryl Hall,Entertainment,fake
Condition go resource responsibility.,2024-06-24,Daily News,Bryan Parsons,Health,fake
Decision but son treat serve Democrat.,2024-11-04,BBC,Karen Cardenas,Technology,real
Attack talk though international end.,2024-03-07,Fox News,Joseph Gallagher,Politics,fake
Red only smile teach practice some.,2024-09-03,Reuters,Eric Rogers,Science,fake
Enough may each nor throw difficult news would.,2023-05-04,NY Times,,Technology,real
Drive realize difference need.,2023-11-20,Global Times,Joshua Sherman,Business,fake
Long stock another interest between.,2023-09-12,Daily News,Amanda Long,Entertainment,fake
Fear put good share generation so president.,2023-09-25,CNN,Kevin Barry,Technology,real
Themselves show continue happen write hard.,2022-10-23,Daily News,Kimberly Butler,Politics,real
But character beautiful.,2024-10-11,The Guardian,Donald Moore,Science,fake
Difficult own generation magazine.,2025-04-01,Daily News,,Science,fake
Tend surface base American issue take memory.,2024-02-13,Fox News,Lori Moore,Science,fake
Difficult old collection medical.,2025-02-09,BBC,Savannah Irwin,Politics,real
Bill do many few institution.,2025-04-09,Reuters,Miguel Brady,Business,real
Learn partner floor.,2022-05-15,The Guardian,,Politics,fake
Trade son deal possible state fight.,2022-07-15,NY Times,Stephanie Rodriguez,Sports,fake
Run trial expect sea low office writer.,2023-06-20,Global Times,Sara Reynolds,Politics,fake
Threat bad tough baby television throughout.,2024-11-16,NY Times,,Politics,real
Through office late would reach how gas.,2024-03-31,Fox News,Andrea Ford,Sports,real
Federal carry fine own must check.,2024-12-09,CNN,Erika Rodriguez,Science,real
